,texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
0,"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .",ng đã được công nhận cho các nhà nghiên cứu của các quốc gia của quốc gia quốc gia và các nhà lãnh đạo của quốc gia và sự kiện của họ .,"Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.15199149012171287,0.018448125041329918,0.018595133675248527,0.0065837444614111765,0.6453171372413635
1,Work : People may regret not following a different career path and pursuing their dream jobs .,người có thể nói rằng họ có thể là một nhà hàng đầu của mình và một cuộc sống của mình trong một cuộc sống của chúng tôi .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.21765719436348557,0.11840198622365901,0.10047315865317723,0.03569699909284547,0.5591192841529846
2,M- my wife barely lets me see her naked .,tôi đã thấy tôi thấy của mình của tôi .,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.18195919791379003,0.03501806396568503,0.036064528799877905,0.016847111051295396,0.5950191617012024
3,"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .",những người khác nhau và chúng ta đang nhìn thấy và những gì trong đó và nhìn thấy là một chiếc xe của mình .,Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.15999999999999998,0.025819888974716113,0.026096076804895382,0.010713701843513142,0.4826827347278595
4,"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .",iều này sẽ giúp bạn cần thiết kế cho các cơ sở sẽ giúp giảm cường độ ăn và sẽ có thể làm cho nó .,"Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.20562077923743607,0.1482752525682874,0.1353561675857114,0.08917674469695129,0.5202063918113708
5,And then there was none .,và đó là không ?,Nhưng rồi chẳng có gì .,0.0,0.0,0.0,0.0,0.5076767206192017
6,"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .",hãy thử nghiệm một câu hỏi về những người khác biệt về những người khác biệt .,Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.1394714758202644,0.08300213019947189,0.04743472851661894,0.02127631086317611,0.607903242111206
7,"And some women can accommodate big much better than others , of course .",và nhiều người có thể giúp đỡ và có thể giúp chúng ta có thể giúp đỡ .,Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.2777777777777778,0.12782749814122843,0.07298044776434656,0.02872495348091206,0.6565014123916626
8,I went there from Albuquerque .,tôi đã đi ở đâu .,Quê em tận Albuquerque .,0.16666666666666669,0.05773502691896258,0.06104735835807843,0.040824829046386304,0.49655190110206604
9,"It 's my duty , knight or not .",tôi không phải là những nhà nước .,"Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.23618327637050734,0.03992226018405109,0.04149080090121231,0.018555250251204053,0.5523366928100586
