,texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
0,"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Murillo đã từng là người phát ngôn chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội Công nhân văn hoá Sandiinista , và Truyền thông của Hội đồng về Truyền thông và Công dân .","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.8172831041429799,0.716367491159628,0.6687031877503473,0.5562037784568413,0.9699392914772034
1,Work : People may regret not following a different career path and pursuing their dream jobs .,Công việc : Người ta có thể hối tiếc vì không theo đuổi con đường nghề nghiệp khác và theo đuổi công việc trong mơ .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.6412452236221914,0.4943354871750302,0.43644867441140733,0.2973067236162583,0.9211190938949585
2,M- my wife barely lets me see her naked .,Vợ tôi hầu như không cho tôi thấy cô ấy trần truồng .,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.39572488576635756,0.1681507428780777,0.09663755435643909,0.03707609241841854,0.7175589203834534
3,"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Nó đầy hoảng loạn và sợ hãi , và tôi nghe thấy những người phụ nữ khóc lóc và khóc lóc trong sa mạc .",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.68,0.5049752469181039,0.387802520979422,0.11088625843023525,0.8989810943603516
4,"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","Điều này sẽ giúp bạn dễ dàng vạch trần quả bóng rễ và kéo nó ra khỏi mặt đất , điều này là cần thiết để làm sạch hoàn toàn bụi cây .","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.5454545454545454,0.41286141192238524,0.36625973527413747,0.25753379048739855,0.8416954278945923
5,And then there was none .,Và rồi chẳng có gì cả .,Nhưng rồi chẳng có gì .,0.7142857142857143,0.5976143046671969,0.5651887140592688,0.4347208719449914,0.8863668441772461
6,"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .","Đặt câu hỏi mở để kết thúc thay vì kết thúc câu hỏi "" có "" hoặc "" không "" .",Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.5714285714285714,0.3380617018914066,0.24213082084870138,0.07603113263762942,0.7684895992279053
7,"And some women can accommodate big much better than others , of course .",Và một số phụ nữ có thể cung cấp chỗ ở lớn hơn nhiều so với những người khác .,Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.6,0.5026246899500345,0.45298528719709075,0.3014335251508215,0.8411635160446167
8,I went there from Albuquerque .,Tôi đến đó từ Albuquerque .,Quê em tận Albuquerque .,0.3333333333333333,0.25819888974716115,0.15352597838656357,0.08633400213704504,0.7291276454925537
9,"It 's my duty , knight or not .","Đó là nhiệm vụ của tôi , dù có hay không .","Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.7759415811497294,0.7330746775945421,0.7050343422029244,0.6220700406786386,0.9045533537864685
