,texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
0,"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Theo đó , các cơ_quan_chức_năng sẽ tiến_hành các bước cần_thiết để đưa các tiêu_chuẩn này vào áp_dụng . Các tiêu_chuẩn này sẽ được áp_dụng theo tiêu_chuẩn quốc_tế . Các tiêu_chuẩn này sẽ được áp_dụng theo tiêu_chuẩn quốc_tế . Theo đó , các tiêu_chuẩn sẽ được áp_dụng theo tiêu_chuẩn quốc_tế . Theo đó , các tiêu_chuẩn sẽ được áp_dụng theo tiêu_chuẩn quốc_tế","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.06557377049180328,0.01045416746978633,0.01049818599047594,0.00422741345345173,0.3144557774066925
1,Work : People may regret not following a different career path and pursuing their dream jobs .,"Theo các chuyên_gia , để đảm_bảo an_toàn cho người đi đường , các cơ_quan_chức_năng nên tăng_cường kiểm_tra , kiểm_soát chặt_chẽ việc đi_lại của người đi đường . Các cơ_quan_chức_năng nên tăng_cường kiểm_tra , kiểm_soát chặt_chẽ việc đi_lại của người_dân trên đường . Theo các chuyên_gia , để đảm_bảo an_toàn cho người đi đường , các cơ_quan_chức_năng nên tăng_cường kiểm_tra , kiểm_soát",Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.0983606557377049,0.0128036879932896,0.012857599450750443,0.004678402036032926,0.40536969900131226
2,M- my wife barely lets me see her naked .,"Trong khi đó , ở các nước khác , người_dân cũng được hưởng những quyền_lợi tương_tự . Ở Việt_Nam , người_dân được hưởng những quyền_lợi tương_tự . Ở các nước khác , người_dân được hưởng những quyền_lợi tương_tự . Ở Việt_Nam , người_dân được hưởng những quyền_lợi tương_tự . Ở các nước khác , người_dân được hưởng những quyền_lợi tương_tự .",Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.03278688524590164,0.007392212709545732,0.0074233385040231485,0.0035548168188028837,0.2854597568511963
3,"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Trong đó , quan_trọng nhất là phải đảm_bảo an_toàn cho người lao_động , vì họ là những người trực_tiếp hưởng lợi trực_tiếp từ sự an_toàn của người_bệnh . Đặc_biệt , phải đảm_bảo an_toàn cho người lao_động , vì họ là những người trực_tiếp hưởng lợi trực_tiếp từ sự an_toàn của người_bệnh . Đặc_biệt , phải đảm_bảo an_toàn cho người lao_động .",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.016393442622950817,0.005227083734893164,0.00524909299523797,0.002989232719814957,0.3182515501976013
4,"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","Ngoài_ra , còn có các bộ phim về các nhân_vật nổi_tiếng khác . Các bộ phim này đều có phụ_đề tiếng Việt . Các bộ phim đều có phụ_đề tiếng Việt . Các bộ phim đều có phụ_đề tiếng Việt . Các bộ phim đều có phụ_đề tiếng Việt . Các bộ phim đều có phụ_đề tiếng Việt . Các bộ","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.049180327868852444,0.009053574604251853,0.009091695761406058,0.003934051501215765,0.2686968147754669
5,And then there was none .,"Theo đó , mục_tiêu của dự_án là nhằm xây_dựng một xã_hội an_toàn , thân_thiện với môi_trường . Mục_tiêu của dự_án là xây_dựng một xã_hội an_toàn , thân_thiện với môi_trường . Mục_tiêu của dự_án là xây_dựng một xã_hội an_toàn , thân_thiện với môi_trường . Mục_tiêu của dự_án là xây_dựng một xã_hội an_toàn , thân_thiện với môi_trường . Mục_tiêu của dự_án là xây_dựng",Nhưng rồi chẳng có gì .,0.016393442622950817,0.005227083734893164,0.00524909299523797,0.002989232719814957,0.24742405116558075
6,"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .",o ) . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o . o .,Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.016393442622950817,0.005227083734893164,0.00524909299523797,0.002989232719814957,0.25260916352272034
7,"And some women can accommodate big much better than others , of course .",o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o ) . o,Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.016393442622950817,0.005227083734893164,0.00524909299523797,0.002989232719814957,0.2977945804595947
8,I went there from Albuquerque .,"Đây là lần đầu_tiên Việt_Nam có một trận bóng_đá giao_hữu quốc_tế , nhưng lại là lần đầu_tiên Việt_Nam có một trận bóng_đá giao_hữu quốc_tế . Trận đấu được coi là rất quan_trọng vì nó đánh_dấu lần đầu_tiên Việt_Nam có một trận bóng_đá giao_hữu quốc_tế . Đây cũng là lần đầu_tiên Việt_Nam có một trận bóng_đá giao_hữu quốc_tế . Trận đấu được",Quê em tận Albuquerque .,0.016393442622950817,0.005227083734893164,0.00524909299523797,0.002989232719814957,0.2590525448322296
9,"It 's my duty , knight or not .","Theo đó , ông chủ của các trang_trại nuôi bò , lợn , gà , cá ... đều được hưởng quyền_lợi như nhau . Ông chủ của các trang_trại nuôi bò , lợn , gà ... đều được hưởng quyền_lợi như nhau . Ông chủ của các trang_trại nuôi bò , gà , cá ... đều được hưởng quyền_lợi như nhau","Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.049180327868852444,0.009053574604251853,0.009091695761406058,0.003934051501215765,0.41878652572631836
