texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Hội đồng nghiệp của chính phủ đã được vinh danh bởi Wendy Widbởi Wendy Widbởi Wendy Widy tế của Tổ chức Nghiên cứu , Tổ chức Nghiên cứu Quốc tế của Tổ chức Nghiên cứu Quốc gia tộc và tư cách là người phụ nữ của","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.2391304347826087,0.12626174791086667,0.09647869997961905,0.030297417780935382,0.6532668471336365
Work : People may regret not following a different career path and pursuing their dream jobs .,Một số người thường không thể làm việc cho người khác và sự kiện cho các câu chuyện của họ .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.2538257212696684,0.0866979889661492,0.049383074229486776,0.016663038297752564,0.6401007771492004
M- my wife barely lets me see her naked .,"Tôi nhìn thấy cô ta , nhưng tôi đã giết tôi , tôi biết cô ấy nhìn thấy cô ấy .",Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.2857142857142857,0.11952286093343939,0.06808008333274287,0.02542254141389555,0.6061822175979614
"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Ngay lúc này và thú vị , tôi cũng đã sợ hãi và tôi cũng đã sợ hãi , và tôi đã sợ hãi về phía đông lạnh và sợ hãi của tôi .",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.20588235294117646,0.13680854337396825,0.10475479121743958,0.037061986319706204,0.6758551597595215
"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","iều này sẽ khiến bạn dễ dàng hơn để đảm bảo rằng bạn có thể thay đổi khí hậu hơn , vì vậy là khả năng nhất của bạn sẽ càng tốt càng tốt hơn .","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.25,0.14638501094227996,0.11203754340102182,0.0371749241029078,0.5334455966949463
And then there was none .,"Và tại sao , còn chưa đến .",Nhưng rồi chẳng có gì .,0.12500000000000003,0.04225771273642583,0.04391801309856982,0.02777619034011792,0.5541352033615112
"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .","Sử dụng câu hỏi gợi ý về những câu chuyện nhỏ hơn không phải không phải là người không phải là người không thích , hoặc không phải là người khác không ?",Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.15151515151515155,0.06881023532039754,0.039003188702745904,0.015021239977027565,0.5613337755203247
"And some women can accommodate big much better than others , of course .","Và một số người có thể yêu hơn nhiều hơn , như vậy , thậm chí là sự thật tuyệt vời , như vậy .",Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.28,0.1527525231651947,0.07300485540967921,0.026058929270445657,0.6317029595375061
I went there from Albuquerque .,Tôi đến từ từ Ethiopia .,Quê em tận Albuquerque .,0.16666666666666669,0.05773502691896258,0.06104735835807843,0.040824829046386304,0.4959947168827057
"It 's my duty , knight or not .","ó là những toà nhà , tôi sẽ không phải là Sân vận động viên của mình , hay không phải là người giỏi nhất .","Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.30769230769230765,0.11094003924504585,0.06302611055344275,0.021729983079834318,0.6202658414840698
I told you I 'll take care of it later .,"Tôi nói với anh sẽ quên mất ngày , tôi sẽ làm cho anh , và tôi sẽ làm cho việc này , và tôi sẽ làm cho việc này .",Đã bảo là tôi sẽ xử lý sau rồi còn gì .,0.09677419354838708,0.05679618342470647,0.03221068548665872,0.014117915208981237,0.5418243408203125
Reaper 's parents led the first team of archeologists to Olduvai .,"Vì vậy là Giám đốc của đầu tiên của mình , Cristina bà đã giành được huy chương trình đơn tiên của mình .",Bố mẹ của Reaper là trưởng nhóm khảo cổ ở Olduvai .,0.12500000000000003,0.02331262020600785,0.023573136842452342,0.01041441909198652,0.5525064468383789
"She was discovered by Nilver Huarac , and has performed with Alma Bella , Lisette , and her current partner Dilbert Aguilar .","Cô đã được sinh ra bởi bà Effđiêu khắc de St. Lucia và Hilenoas , với cô gái của cô , và là một phần của các nhà thơ của mình , tác giả , và các nhà nghiên cứu của bà đã được sinh ra","Cô được phát hiện bởi Nilver Huarac , và đã biểu diễn cùng Alma Bella , Lisette và đối tác hiện tại của cô Dilbert Aguilar .",0.2391304347826087,0.10309228547118111,0.0490239869590284,0.015395110159015185,0.6759214997291565
"For the last time , give me your wallet .","Lần cuối cùng , tôi đã chọn lệnh của mình .","Lần cuối cùng , đưa ví cho tao !",0.36363636363636365,0.33028912953790823,0.306415576240184,0.23462350320528,0.6942771673202515
"If you have 15.3 grams of 10K gold scrap , USD$ 1,600 divided by 31.1 equals USD$ 51.45 , and that amount multiplied by .4167 ( 10K ) equals USD$ 21.44 per gram  ,  USD$ 21.44 multiplied by 15.3 grams equals USD$ 328.02","Nếu bạn đã giảm khoảng 10 triệu đô la , 15 10 , bạn hãy thử xem xét nghiệm máu , 100 lượt về phía đông lạnh và 52 Choe dài ,","Nếu bạn có 15,3 gam vàng tạp chất , lấy 1,600 đô la chia cho 31,1 để được 1,17 triệu đồng , và lấy số đó nhân cho 0,4167 ( 10 K ) được 21.44 đô la / gam . 21.44 đô la nhân cho 15,3 gam được 328.02 đô la .",0.15054227677096602,0.0721018428993272,0.03437549622796065,0.011438691410624658,0.61826491355896
I 'm afraid you are responsible .,Tôi sợ rằng bác sĩ Frankenstein .,Tôi sợ rằng ông phải có trách nhiệm .,0.4294155960430205,0.3279715789102868,0.288651635933604,0.13201355840223275,0.7464319467544556
"An old villain can be all that , but might also be twisted that way by life 's circumstances - giving him a lot more depth .","Một cách mạng cách mà có thể là cách mà Hitler tin rằng nó sẽ làm việc với nhau rằng mình là một cuộc đụng độ của mình , nhưng cũng như vậy là một phần của cuộc sống của mình .","Một kẻ ác già dặn cũng có mọi tính chất như vậy , nhưng có thể biến đổi tuỳ theo hoàn cảnh , tạo thêm chiều sâu cho tính cách của nhân vật .",0.2619047619047619,0.13843324407887755,0.05951700231669026,0.018721431301571282,0.5545555353164673
Take care of shallow water .,Sử dụng hỗn hợp nước cốt lõi .,Dọn dẹp khu vực trũng thấp .,0.12500000000000003,0.04225771273642583,0.04391801309856982,0.02777619034011792,0.46324339509010315
"Launched in 2004 , the Girl Detective series features Nancy driving a hybrid electric vehicle and using a cell phone .","Vào năm 2004 , album phòng tập hợp của mình đã mở một loạt bài hát và mở cửa cho các album , và một số bài hát của mình , và một phần của nó , và một phần của nó , và có thể làm cho các","Từ năm 2004 , Nancy trong loạt truyện Nữ thám tử đã lái xe hơi hybrid chạy điện hiện đại cũng như sử dụng điện thoại di động .",0.1020408163265306,0.06520506636966261,0.05512006071052264,0.021058466792450898,0.4349670112133026
How was this possible ?,Nhiệm vụ này bao nhiêu lần này ?,Điều này xảy ra thế nào ?,0.25,0.059761430466719695,0.06210944975647667,0.03303164318013808,0.6243240237236023
"my mama does n't say "" yes "" she says , "" ah ha "" and suddenly the sky in her mouth becomes a Hector Lavoe song .","Mẹ bà ta chợt nói rằng bà đã nói rằng bà đã chọn một con gái , và cô gái giống như một bài hát trong một bài hát của bà là một phần của Peggsy .","mẹ không nói "" có "" mẹ nói "" à ha "" và bầu trời ngôn ngữ từ miệng bà bỗng thành bản hoà ca Hector Lavoe",0.10810810810810814,0.01732917483033455,0.017451650116652576,0.007087648989046159,0.5761427879333496
A lobule of the lung enclosed in septa and supplied by a terminal bronchiole that branches into the respiratory bronchioles .,Một bàn tay của thìa gelatin trong vườn và bán kính bằng cách sử dụng bởi các nhà máy xay của Daifia sin B trong nước .,Một tiểu thuỳ của phổi được bao bọc trong vách ngăn và được cung cấp bởi một phế quản cuối phân nhánh vào các tiểu phế quản hô hấp .,0.23199537843335508,0.028256965508960705,0.028535392877960683,0.010160088173216104,0.4754926860332489
"I mean , I can get him fixed .",tôi là ông ta có thể làm cho ông ấy .,"Ý tôi là , tôi có thể đưa nó đi sửa .",0.41504578012830107,0.275310224701184,0.13366084875931913,0.05442988140675566,0.7520545721054077
"Yes , now that 's all I remember !","ược rồi , bây giờ tôi nhớ rằng tất cả các con ngựa !","Phải , bây giờ tôi chỉ nhớ có bao nhiêu đó !",0.42857142857142855,0.3144854510165755,0.2899133874143774,0.19674979811155635,0.7468920350074768
Where did you find it ?,Mẹ tìm ra nó ở đâu ?,Anh tìm thấy nó ở đâu vậy ?,0.6191984998215584,0.4229931028018367,0.37228119435855095,0.16102307266026747,0.8585914969444275
Learn to beatbox .,Học cách nào để giảm xuống.,Luyện beatbox .,0.0,0.0,0.0,0.0,0.4160592257976532
"Little wog , let me tell you something .","Xin lỗi , tôi sẽ cho anh chút gì đó ,","Nhóc con , để tôi nói cậu nghe .",0.18181818181818182,0.042640143271122095,0.043778212791907856,0.022416933501922302,0.6022170782089233
"For example , use regional terms such as "" soda "" versus "" pop "" to establish geography .","Ví dụ , ví dụ như nhóm các bài hát như vậy , ví dụ như các loại tệp như các loại tệp như các chất béo phì của chúng ta thường xuyên .","Ví dụ , sử dụng từ ngữ địa phương như "" trái thơm "" thay cho "" quả dứa "" để tạo sự khác nhau về địa lý .",0.14705882352941177,0.09440686400617015,0.07999946138506593,0.030787460505623355,0.5616283416748047
"After the 1964 Tokyo Olympics , Nintendo 's stock price plummeted to its lowest recorded level of ¥ 60 .","Sau khi các boongke , arcos đã được bán hàng hoá của NS5A and 3DS XL , Inc. cầu nguyện viên của NS5A S H se in Dataforolimus trong khoảng thời gian của NS5A .","Sau Thế vận hội Tokyo 1964 , giá cổ phiếu của Nintendo đã giảm mạnh xuống mức thấp nhất được ghi nhận là ¥ 60 .",0.1714285714285714,0.02245443565695359,0.022622645431258828,0.008312565735249721,0.49372223019599915
Mark the shadow 's new location .,Phê đầu tiên mới mới mới .,Đánh dấu vị trí mới của bóng cọc .,0.21470779802151024,0.05185685985790754,0.05427521174581795,0.029519129053903102,0.5489686131477356
We have a situation where private companies are applying censorship standards that are often quite arbitrary and generally more narrow than the free speech constitutional standards that we have in democracies .,Chúng ta có khả năng đọc sách của Trung Quốc và thường xuyên có thể được sử dụng để kiểm tra và khả năng kiểm tra các biện pháp pháp lý và kiểm tra các biện pháp pháp lý và được sử dụng để tăng cường độ cao hơn,Chúng ta có một tình huống là những công ty tư nhân đang áp dụng các tiêu chuẩn kiểm duyệt một cách khá tuỳ tiện và thông thường là hẹp hơn so với những tiêu chuẩn hiến pháp về tự do ngôn luận mà chúng ta đang có ở các nền dân chủ .,0.22114106793600738,0.09121603676289171,0.07710801881007075,0.023668121781053916,0.774690568447113
David got ammonium nitrate instead .,"áng lẽ là một người mẫu , vì vậy hãy thử nghiệm lại cho nó .",David đã có được Nitrat amoni .,0.0625,0.02041241452319315,0.02076754618603198,0.012300686288463768,0.40369492769241333
- The water system plans ?,Nước nhiệt độ nhiệt độ toàn cầu,- Còn hệ thống nước ?,0.0,0.0,0.0,0.0,0.5044994950294495
"For the Skey test , start by purchasing a gold tester or gold verification pen employing the Skey method .","ối với các nhà phê bình luận về các nhà phê bình luận , bằng cách sử dụng một loại tệp hoặc các loại thuốc khác nhau để mua các loại thuốc khác nhau .","Đối với phép thử Skey , đầu tiên bạn cần mua một cây bút thử vàng dùng cho phương pháp này .",0.14285714285714285,0.02049800154226969,0.020651555355236086,0.007942181016469338,0.5675423741340637
