,texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
0,"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Lời thề đã trở thành thủ lĩnh của chính phủ ái quốc, bộ trưởng chính phủ, người đứng đầu hiệp hội chống tội phạm, và Liên minh Liên minh của Hội đồng Lãnh đạo Trung ương và Công dân.","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.3608914522707647,0.2585247359783149,0.21884673539566588,0.06277700660391106,0.6989920139312744
1,Work : People may regret not following a different career path and pursuing their dream jobs .,Công việc: Người ta có thể hối tiếc vì không theo đuổi nghề nghiệp khác và theo đuổi công việc trong mơ.,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.4327748310956467,0.3431146912563137,0.31384399528051465,0.23395012244256247,0.8310424089431763
2,M- my wife barely lets me see her naked .,Vợ tôi không cho tôi thấy cô ấy khỏa thân.,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.3032653298563167,0.1429606474934511,0.08279510039770772,0.03403984908815123,0.6542973518371582
3,"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Đó là đầy đủ của hoảng loạn và sợ hãi, và tôi'd nghe những người phụ nữ và khóc trong sa mạc.",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.5212162016008823,0.30800585527952035,0.2204658360211459,0.06909764692814399,0.7224513292312622
4,"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","Điều này sẽ giúp bạn dễ dàng hơn nhiều trong việc vạch trần quả cầu rễ và kéo nó ra khỏi mặt đất, điều này là cần thiết để hoàn toàn dọn dẹp mọi thứ.","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.34285714285714286,0.26568446566202863,0.23272760191542313,0.16829158981319012,0.7146954536437988
5,And then there was none .,Và rồi không có.,Nhưng rồi chẳng có gì .,0.15163266492815836,0.05536842069051654,0.061275230100555834,0.04873039689743777,0.6649191975593567
6,"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .","open - chấm câu hỏi mở, còn hơn là đóng - kết thúc ""Có"" hoặc ""không"" câu hỏi.",Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.188107049975692,0.09678027877848716,0.05525468449839133,0.022995847353375582,0.5559453368186951
7,"And some women can accommodate big much better than others , of course .","Và một số phụ nữ có thể cung cấp rộng lớn hơn nhiều so với những người khác, tất nhiên.",Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.5,0.39735970711951313,0.3639412530979476,0.2534743707366162,0.7505965232849121
8,I went there from Albuquerque .,Tôi đã đến đó từ khi tới đó.,Quê em tận Albuquerque .,0.0,0.0,0.0,0.0,0.4863463044166565
9,"It 's my duty , knight or not .","Đó là nghĩa vụ của ta, dù có hay không.","Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.40219202762138356,0.2447662733077473,0.11920163360015204,0.04682414808941458,0.6877667903900146
