texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Hãng hát đã được là là với sự nghiệp của chính phủ Dân chủ , chính phủ của Hội đồng Quốc gia , chính phủ , đầu tiên của Hội đồng Thương mại Quốc tế , và sự kiện của Hội đồng Phát triển Liên bang và Công ty","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.3469387755102041,0.22493385271060937,0.18295592159568608,0.05147469740305653,0.7194066047668457
Work : People may regret not following a different career path and pursuing their dream jobs .,Việc kiểm tra các người có thể hối tiếc của họ không được sự quan tâm của họ và từ chối .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.2885165540637645,0.16174581660804535,0.12440850406282283,0.0408100698355786,0.7148430943489075
M- my wife barely lets me see her naked .,Tôi đã nói chuyện với tôi muốn xem con ngựa của cô ấy .,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.26601793705829224,0.13802992984483847,0.07918880582559891,0.03344511038039969,0.6009623408317566
"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Nó bị kẹt lòng và sợ hãi , và tôi đang nghe một người phụ nữ cuối cùng và chờ đợi trong việc bị hư hại và mất .",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.3793103448275862,0.20159462812453596,0.08692550219914608,0.02758387014375928,0.7352986335754395
"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","iều này sẽ giúp đỡ nhiều bạn để không thể bày tỏ sự tự nhiên và mở rộng đất nước , có thể giúp sự tiêu thụ hoàn toàn gây ra sự đau khổ .","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.2857142857142857,0.15877683720748895,0.12154807279367984,0.03930769646699871,0.5945104956626892
And then there was none .,Và rồi không phải là gì .,Nhưng rồi chẳng có gì .,0.42857142857142855,0.26726124191242434,0.15730093122823424,0.07730551756939454,0.7532072067260742
"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .","Hỏi những câu hỏi về kết nối thời gian ngắn , được đặt vào những người đã phản đối hoặc không có câu hỏi về tình huống .",Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.32142857142857145,0.15430334996209194,0.07365724313684054,0.02460137257692754,0.6231005191802979
"And some women can accommodate big much better than others , of course .","Và một số phụ nữ có thể giúp đỡ nhiều người khác hơn , thật sự .",Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.5546312610911028,0.3615753451305696,0.30899289361505244,0.1824016290846477,0.8178052306175232
I went there from Albuquerque .,Tôi đã quay lại từ các khoản riêng .,Quê em tận Albuquerque .,0.11111111111111109,0.03726779962499649,0.03853290382635659,0.023980296761827107,0.3830344080924988
"It 's my duty , knight or not .",Nó là sự của tôi là người của tôi hay không .,"Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.49378100618619153,0.33762940865879065,0.26272906830615717,0.09760415363690406,0.6775709390640259
I told you I 'll take care of it later .,"Tôi đã nói với anh , tôi sẽ lo lắng .",Đã bảo là tôi sẽ xử lý sau rồi còn gì .,0.24902746807698065,0.15079362038065447,0.08706073731884911,0.040282619279694225,0.5957225561141968
Reaper 's parents led the first team of archeologists to Olduvai .,Người ta đã cho mẹ là người đầu tiên của đội nước Anh đến tuổi Garner .,Bố mẹ của Reaper là trưởng nhóm khảo cổ ở Olduvai .,0.23529411764705885,0.03834824944236853,0.03897200275213879,0.01626739260030573,0.5861107707023621
"She was discovered by Nilver Huarac , and has performed with Alma Bella , Lisette , and her current partner Dilbert Aguilar .","Bà được phát hiện bởi Jon Sherman , và đã được thực hiện với nghệ thuật , và đã được thực hiện với tên tội phạm bantội ác of Access Center ảo thượng banacent .","Cô được phát hiện bởi Nilver Huarac , và đã biểu diễn cùng Alma Bella , Lisette và đối tác hiện tại của cô Dilbert Aguilar .",0.31428571428571433,0.21498485387337865,0.1906281007371549,0.10704546329879021,0.6448644399642944
"For the last time , give me your wallet .","Lần cuối cùng , để tôi từ với thế .","Lần cuối cùng , đưa ví cho tao !",0.4,0.36514837167011077,0.33980884896942454,0.2626909894424158,0.6941612958908081
"If you have 15.3 grams of 10K gold scrap , USD$ 1,600 divided by 31.1 equals USD$ 51.45 , and that amount multiplied by .4167 ( 10K ) equals USD$ 21.44 per gram  ,  USD$ 21.44 multiplied by 15.3 grams equals USD$ 328.02","Nếu có 15 km 3 đến phía tây chiên , tăng gấp 2 và 4 mg sau sau 35 mg được tiêm bằng bằng cách tiếp cận 50 mg và có số số đĩa được bán bằng 10 km 3 9 mg có","Nếu bạn có 15,3 gam vàng tạp chất , lấy 1,600 đô la chia cho 31,1 để được 1,17 triệu đồng , và lấy số đó nhân cho 0,4167 ( 10 K ) được 21.44 đô la / gam . 21.44 đô la nhân cho 15,3 gam được 328.02 đô la .",0.15091162180174644,0.017072112952067908,0.017175272406960925,0.005847675345180205,0.5902400016784668
