texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .",Ma ⁇ o đã từng là người phát ngôn chính của chính phủ Guatemala  ⁇  bộ trưởng chính phủ  ⁇  trưởng Hiệp hội Công nhân văn hoá S ⁇ nga và Giám đốc truyền thông của Hội đồng liên lạc và .,"Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.5675577112104028,0.4142327359638481,0.35703768308896183,0.2140698663624416,0.8146620392799377
Work : People may regret not following a different career path and pursuing their dream jobs .,Làm việc  ⁇  Người ta có thể hối hận không theo đuổi một con đường nghề nghiệp khác và theo đuổi công việc mơ ước của họ .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.6191984998215584,0.4458738797985184,0.3961388603996915,0.2725269478977299,0.8857707977294922
M- my wife barely lets me see her naked .,M  ⁇  vợ tôi chỉ để tôi thấy cô ấy thật .,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.4543004567916529,0.3106340516511216,0.13593050141122376,0.05049833895129585,0.716408908367157
"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .",Nó đầy hoảng loạn và sợ hãi  ⁇  và tôi nghe thấy những người phụ nữ đang kéo dài .,Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.5594601846762877,0.38995216040315694,0.30033178066718164,0.09263193187547272,0.824483335018158
"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .", ⁇ iều này sẽ giúp bạn dễ dàng tiếp xúc cây và đưa nó ra khỏi mặt đất hơn  ⁇  điều này cần thiết để giải toả hoàn toàn .,"Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.4666666666666667,0.3805621975536937,0.34690680818176967,0.24232627169060797,0.7462444305419922
And then there was none .,Và rồi không có gì cả .,Nhưng rồi chẳng có gì .,0.5714285714285714,0.3086066999241838,0.1816354699767997,0.08307018474412793,0.8204140067100525
"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .",Hỏi câu hỏi kết thúc mở thay vì hỏi  ⁇  có  ⁇  hoặc  ⁇  không  ⁇  .,Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.5113954113409694,0.27528692267187505,0.21257512749525934,0.0689040101780137,0.7268375754356384
"And some women can accommodate big much better than others , of course .",Và tất nhiên  ⁇  một số phụ nữ có thể chịu đựng nhiều hơn nhiều so với những người khác .,Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.6190476190476191,0.4976133515281193,0.4481579732851345,0.29170205300854224,0.8374192714691162
I went there from Albuquerque .,Tôi đến đó từ đó .,Quê em tận Albuquerque .,0.16666666666666669,0.05773502691896258,0.06104735835807843,0.040824829046386304,0.44739317893981934
"It 's my duty , knight or not .", ⁇ ó là nhiệm vụ của tôi  ⁇  hoàng tử hay không .,"Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.5698222022414253,0.5136307920198175,0.4743243029127633,0.3581345475522872,0.7206417322158813
