,texts,predictions,references,BLEU_1,BLEU_2,BLEU_3,BLEU_4,cosin similarity
0,"Murillo has served as the Nicaraguan government 's lead spokesperson , government minister , head of the Sandinista Association of Cultural Workers , and Communications Coordinator of the Council on Communication and Citizenry .","Murillo từng là phát ngôn viên chính của chính phủ Nicaragua , Bộ trưởng Chính phủ , người đứng đầu Hiệp hội Công nhân Văn hoá Sandinista và Điều phối viên Truyền thông của Hội đồng Thông tin và Công dân Nicaragua .","Murillo đã từng là phát ngôn viên chính của chính phủ Nicaragua , bộ trưởng chính phủ , người đứng đầu Hiệp hội công nhân Văn hoá Sandinista , và Điều phối viên Truyền thông của Hội đồng Truyền thông và công dân .",0.8179639688657216,0.7167610348145307,0.6927583420787281,0.6012383237174617,0.9677214026451111
1,Work : People may regret not following a different career path and pursuing their dream jobs .,Công việc : Mọi người có thể hối tiếc vì đã không theo đuổi một con đường nghề nghiệp khác và theo đuổi công việc mơ ước .,Công việc : Con người có thể cảm thấy hối tiếc vì đã không đi theo một con đường sự nghiệp khác và theo đuổi công việc mà họ mơ ước .,0.773998124776948,0.6688108196977776,0.6100677669673741,0.4392738957338123,0.9419525861740112
2,M- my wife barely lets me see her naked .,Vợ tôi hầu như không cho tôi thấy cô ấy khoả thân .,Vợ ... vợ tôi còn hiếm khi để tôi nhìn cô ấy khoả thân .,0.5276331810218101,0.3883275066603749,0.3693266190644696,0.2788569356565234,0.7925997972488403
3,"It 's full of panic and fear , and I 'd heard the women wailing and crying in the desert .","Trong đó tràn ngập sự sợ hãi và sợ hãi , và tôi đã nghe thấy tiếng những người phụ nữ khóc than và khóc lóc .",Nó chứa đầy sợ hãi và hoảng loạn và tôi nghe tiếng phụ nữ rên rỉ và khóc than giữa sa mạc .,0.48148148148148145,0.33333333333333337,0.2150796234713571,0.06559965570884768,0.8609695434570312
4,"This will make it much easier for you to expose the root ball and pull it out of the ground , which is necessary for completely clearing the shrub .","Điều này sẽ giúp bạn dễ dàng đưa hạt ra ngoài và kéo nó ra khỏi mặt đất , điều cần thiết để loại bỏ hoàn toàn .","Bước này sẽ giúp bạn dễ dàng làm lộ rễ cây để nhổ lên khỏi mặt đất , như vậy mới loại bỏ được bụi cây hoàn toàn .",0.5513805396413543,0.4655699261352384,0.4197675491906664,0.305350313025054,0.7871232628822327
5,And then there was none .,Và sau đó là,Nhưng rồi chẳng có gì .,0.0,0.0,0.0,0.0,0.5158625841140747
6,"Ask open - ended questions rather than closed - ended "" yes "" or "" no "" questions .","Đặt câu hỏi mở thay vì câu trả lời "" có "" hoặc "" không "" .",Hỏi các câu hỏi mở thay vì câu hỏi chỉ để trả lời ' có ' hoặc ' không ' .,0.5578859032810576,0.4066257331055206,0.37340422311994337,0.2771688685755112,0.8623088598251343
7,"And some women can accommodate big much better than others , of course .","Và một số phụ nữ có thể chấp nhận sự rộng rãi tốt hơn nhiều so với những người khác , tất nhiên .",Và nhiều phụ nữ có thể chứa được cái to tốt hơn nhiều so với người khác .,0.5416666666666666,0.4340573661412156,0.39025046024161236,0.27966356291643857,0.8408412933349609
8,I went there from Albuquerque .,Tôi đã tới đó .,Quê em tận Albuquerque .,0.2,0.07071067811865477,0.07598356856515925,0.05372849659117709,0.42451995611190796
9,"It 's my duty , knight or not .","Đó là bổn phận của tôi , dù là Hiệp sĩ hay không .","Đó là nhiệm vụ của tôi , dù là hiệp sĩ hay không .",0.7857142857142857,0.6953534953651154,0.6307629461306684,0.48415247130346006,0.8547842502593994
10,I told you I 'll take care of it later .,Tôi đã nói là tôi sẽ lo mà .,Đã bảo là tôi sẽ xử lý sau rồi còn gì .,0.31845836025501745,0.23884377019126313,0.20766074407235005,0.09138232906466222,0.6500091552734375
11,Reaper 's parents led the first team of archeologists to Olduvai .,Bố mẹ của Scepter dẫn đầu nhóm của Arch .,Bố mẹ của Reaper là trưởng nhóm khảo cổ ở Olduvai .,0.40936537653899097,0.272910251025994,0.23634721034169892,0.09717028343213063,0.6818704605102539
12,"She was discovered by Nilver Huarac , and has performed with Alma Bella , Lisette , and her current partner Dilbert Aguilar .","Cô được phát hiện bởi Ninsell Huácar , và đã biểu diễn cùng Alma Bella , Lisette và đối tác hiện tại của cô Dal .","Cô được phát hiện bởi Nilver Huarac , và đã biểu diễn cùng Alma Bella , Lisette và đối tác hiện tại của cô Dilbert Aguilar .",0.8512377088598044,0.8095032628579325,0.7965470300800379,0.7501028876340878,0.9556955099105835
13,"For the last time , give me your wallet .","Lần cuối cùng , cho tôi biết .","Lần cuối cùng , đưa ví cho tao !",0.5515605641153721,0.45673553902495045,0.4289223615300013,0.32260135189272865,0.7564314603805542
14,"If you have 15.3 grams of 10K gold scrap , USD$ 1,600 divided by 31.1 equals USD$ 51.45 , and that amount multiplied by .4167 ( 10K ) equals USD$ 21.44 per gram  ,  USD$ 21.44 multiplied by 15.3 grams equals USD$ 328.02","Nếu bạn có 15,3 gam vàng vụn , thì $ 1,600 chia cho 30,1 bằng $ 50,5 , và số tiền đó nhân với kilogram ( 10 K ) bằng $ 21,44 mỗi kB .","Nếu bạn có 15,3 gam vàng tạp chất , lấy 1,600 đô la chia cho 31,1 để được 1,17 triệu đồng , và lấy số đó nhân cho 0,4167 ( 10 K ) được 21.44 đô la / gam . 21.44 đô la nhân cho 15,3 gam được 328.02 đô la .",0.35157575433173266,0.2645421175965065,0.22904758192122526,0.15664362564201695,0.871870756149292
15,I 'm afraid you are responsible .,Tôi e rằng anh chịu trách nhiệm .,Tôi sợ rằng ông phải có trách nhiệm .,0.5515605641153721,0.37292300600205397,0.32591051666444887,0.13784336590962212,0.8420562744140625
16,"An old villain can be all that , but might also be twisted that way by life 's circumstances - giving him a lot more depth .","Một nhân vật phản diện cũ có thể là tất cả , nhưng cũng có thể bị bóp méo theo cách đó bởi hoàn cảnh cuộc sống – cho anh ta nhiều chiều sâu hơn .","Một kẻ ác già dặn cũng có mọi tính chất như vậy , nhưng có thể biến đổi tuỳ theo hoàn cảnh , tạo thêm chiều sâu cho tính cách của nhân vật .",0.4722222222222222,0.2845213189769458,0.1029732174143963,0.02914467336803375,0.762393593788147
17,Take care of shallow water .,Chăm sóc nước nông,Dọn dẹp khu vực trũng thấp .,0.0,0.0,0.0,0.0,0.5529916286468506
18,"Launched in 2004 , the Girl Detective series features Nancy driving a hybrid electric vehicle and using a cell phone .","Ra mắt vào năm 2004 , loạt phim trinh thám Girl có vai diễn Nancy lái một phương tiện điện tử lai và sử dụng điện thoại di động .","Từ năm 2004 , Nancy trong loạt truyện Nữ thám tử đã lái xe hơi hybrid chạy điện hiện đại cũng như sử dụng điện thoại di động .",0.5333333333333333,0.3835706411883073,0.3600979641093479,0.2614237504195464,0.8284886479377747
19,How was this possible ?,Sao điều này có thể xảy ra ?,Điều này xảy ra thế nào ?,0.5,0.26726124191242434,0.1561969968460128,0.06985342056580097,0.7746394872665405
20,"my mama does n't say "" yes "" she says , "" ah ha "" and suddenly the sky in her mouth becomes a Hector Lavoe song .","Mẹ tôi không nói "" Có "" , bà nói "" Ah ha "" và đột nhiên , bầu trời trong miệng bà trở thành","mẹ không nói "" có "" mẹ nói "" à ha "" và bầu trời ngôn ngữ từ miệng bà bỗng thành bản hoà ca Hector Lavoe",0.5169451539765161,0.3730730297557676,0.27567519753374176,0.08274562058523031,0.7815690040588379
21,A lobule of the lung enclosed in septa and supplied by a terminal bronchiole that branches into the respiratory bronchioles .,Một nang phổi của phổi được bọc trong hệ thống vách ngăn và được cung cấp bởi một phế quản cuối cùng mở ra thành phế quản hô hấp,Một tiểu thuỳ của phổi được bao bọc trong vách ngăn và được cung cấp bởi một phế quản cuối phân nhánh vào các tiểu phế quản hô hấp .,0.6995932733461215,0.6214639660467096,0.5836195547463051,0.4852793386347391,0.8978879451751709
22,"I mean , I can get him fixed .","Ý tôi là , tôi có thể chữa cho anh ấy .","Ý tôi là , tôi có thể đưa nó đi sửa .",0.6666666666666666,0.6030226891555271,0.5900468726392808,0.5331675363405771,0.8689548969268799
23,"Yes , now that 's all I remember !","Vâng , bây giờ tôi chỉ nhớ có thế !","Phải , bây giờ tôi chỉ nhớ có bao nhiêu đó !",0.6549846024623855,0.5979164026453373,0.5883466523431029,0.5408804419255526,0.8297092914581299
24,Where did you find it ?,Anh tìm nó ở đâu ?,Anh tìm thấy nó ở đâu vậy ?,0.7165313105737893,0.5550227665776921,0.4459210638298016,0.19053627645285992,0.8966344594955444
25,Learn to beatbox .,Học hỏi,Luyện beatbox .,0.0,0.0,0.0,0.0,0.5207219123840332
26,"Little wog , let me tell you something .","Wow , để tôi nói .","Nhóc con , để tôi nói cậu nghe .",0.5054422164271946,0.42888194248035344,0.40977216064946154,0.3258798048281462,0.6416034698486328
27,"For example , use regional terms such as "" soda "" versus "" pop "" to establish geography .","Ví dụ , sử dụng các thuật ngữ khu vực như "" soda "" so với "" pop "" để thiết lập địa lý .","Ví dụ , sử dụng từ ngữ địa phương như "" trái thơm "" thay cho "" quả dứa "" để tạo sự khác nhau về địa lý .",0.5112862733797269,0.3810902877465368,0.3238852969102355,0.20207158563866,0.8223040103912354
